,,,,,,,
,Movie,DomesticTotal,PrevFilmDomestic,Year,Budget,IsVideoGame,IsSpringRelease
,Inside Out 2,652980194,356461711,2024,200000000,0,0
,Incredibles 2,608581744,261441092,2018,200000000,0,0
,Finding Dory,486295561,339714978,2016,200000000,0,0
,Frozen 2,477373578,400953009,2019,150000000,0,0
,Moana 2,460405297,248757044,2024,150000000,0,0
,Toy Story 4,434038008,415004880,2019,200000000,0,0
,Toy Story 3,415004880,245852179,2010,200000000,0,0
,Zootopia 2,428047935,341268248,2025,150000000,0,0
,Despicable Me 2,368065385,251683815,2013,76000000,0,0
,Despicable Me 3,264624300,368065385,2017,80000000,0,0
,Despicable Me 4,361004205,264624300,2024,100000000,0,0
,Minions: The Rise of Gru,370549695,336045770,2022,80000000,0,0
,Monsters University,268492764,290642256,2013,200000000,0,0
,How to Train Your Dragon 2,177002924,262958100,2014,145000000,0,0
,How to Train Your Dragon: The Hidden World,160799505,177002924,2019,129000000,0,0
,Kung Fu Panda 3,143528619,165249063,2016,145000000,0,0
,Kung Fu Panda 4,193590620,143528619,2024,85000000,0,1
,Ralph Breaks the Internet,201091711,189422889,2018,175000000,0,0
,Puss in Boots: The Last Wish,186090535,149260504,2022,90000000,0,0
,Hotel Transylvania 2,169700110,148426305,2015,80000000,0,0
,Hotel Transylvania 3,167510016,169700110,2018,80000000,0,0
,Cars 3,152901115,191452396,2017,175000000,0,0
,Sonic the Hedgehog 2,190872904,148974665,2022,110000000,1,1
,Sonic the Hedgehog 3,236115100,190872904,2024,122000000,1,0
,Shrek Forever After,238736787,322719944,2010,65000000,0,1
,Secret Life of Pets 2,158980250,368623860,2019,80000000,0,0
,Sing 2,162790990,270578425,2021,85000000,0,0